,"id","Standard name","chrom","start","end","Length","Hits","Reads","Hits_600_bp_upstream","Hits_600_bp_downstream","Neighbourhood Hits","Neighbourhood Index","Max Free Region","Freedom Index","target_seq_counts","600_bp_up_target_seq_counts","600_bp_down_target_seq_counts","target_per_bp","600_up_target_per_bp","600_down_target_per_bp","short name","description"
972,"YDR141C","S000002548","chrIV",734901,739997,5097,2,5,5,9,363,0.005,4797,0.941,525,65,74,0.103,0.1083,0.1233,"DOP1","homolog of A. nidulans DOPey"
973,"YDR142C","S000002549","chrIV",740473,741600,1128,16,216,9,34,344,0.206,281,0.249,106,74,72,0.094,0.1233,0.12,"PEX7","PEroXin"
974,"YDR143C","S000002550","chrIV",742042,743874,1833,38,1132,26,34,396,0.262,210,0.115,163,67,59,0.0889,0.1117,0.0983,"SAN1","Sir Antagonist"
975,"YDR144C","S000002551","chrIV",744311,746101,1791,37,746,32,29,424,0.244,175,0.098,151,64,63,0.0843,0.1067,0.105,"MKC7","Multicopy suppressor of Kex2 Cold sensitivity"
976,"YDR145W","S000002552","chrIV",746738,748357,1620,1,4,29,13,424,0.007,1514,0.935,121,65,77,0.0747,0.1083,0.1283,"TAF12","TATA binding protein-Associated Factor"
977,"YDR146C","S000002553","chrIV",748613,750742,2130,21,131,12,57,432,0.114,346,0.162,183,74,63,0.0859,0.1233,0.105,"SWI5","SWItching deficient"
978,"YDR147W","S000002554","chrIV",751631,753235,1605,30,775,66,22,418,0.224,270,0.168,181,64,78,0.1128,0.1067,0.13,"EKI1","Ethanolamine KInase"
979,"YDR148C","S000002555","chrIV",753675,755066,1392,17,122,24,49,412,0.148,336,0.241,123,82,52,0.0884,0.1367,0.0867,"KGD2","alpha-KetoGlutarate Dehydrogenase"
980,"YDR151C","S000002558","chrIV",764178,765155,978,26,546,19,67,528,0.252,86,0.088,102,60,57,0.1043,0.1,0.095,"CTH1","Cysteine-Three-Histidine"
981,"YDR152W","S000002559","chrIV",765706,766503,798,16,465,68,15,488,0.205,223,0.279,66,61,64,0.0827,0.1017,0.1067,"GIR2","Genetically Interacts with Ribosomal genes"
982,"YDR153C","S000002560","chrIV",766736,767971,1236,26,288,19,69,487,0.216,268,0.217,106,65,57,0.0858,0.1083,0.095,"ENT5","Epsin N-Terminal homology"
983,"YDR155C","S000002562","chrIV",768512,769000,489,27,514,71,66,488,0.566,65,0.133,41,66,40,0.0838,0.11,0.0667,"CPR1","Cyclosporin A-sensitive Proline Rotamase"
984,"YDR156W","S000002563","chrIV",769525,769938,414,20,342,70,57,488,0.495,75,0.181,24,43,51,0.058,0.0717,0.085,"RPA14","RNA Polymerase A"
985,"YDR158W","S000002565","chrIV",770357,771454,1098,16,79,71,21,498,0.146,303,0.276,81,47,64,0.0738,0.0783,0.1067,"HOM2","HOMoserine requiring"
986,"YDR159W","S000002566","chrIV",771877,775782,3906,17,108,19,7,535,0.041,1813,0.464,386,54,73,0.0988,0.09,0.1217,"SAC3","Suppressor of ACtin"
987,"YDR160W","S000002567","chrIV",776163,778721,2559,0,0,11,8,423,0,2559,1,228,67,82,0.0891,0.1117,0.1367,"SSY1","Sulfonylurea Sensitive on YPD"
988,"YDR161W","S000002568","chrIV",779043,780206,1164,3,16,7,8,287,0.045,1011,0.869,105,87,62,0.0902,0.145,0.1033,"ACL4","Assembly Chaperone of RpL4"
989,"YDR162C","S000002569","chrIV",780390,781100,711,4,13,7,9,149,0.189,328,0.461,66,61,47,0.0928,0.1017,0.0783,"NBP2","Nap1 Binding Protein"
990,"YDR163W","S000002570","chrIV",781423,781950,528,9,269,4,1,137,0.622,169,0.32,36,59,54,0.0682,0.0983,0.09,"CWC15","Complexed With Cef1p"
991,"YDR164C","S000002571","chrIV",782041,784215,2175,1,3,8,22,150,0.015,1959,0.901,212,46,55,0.0975,0.0767,0.0917,"SEC1","SECretory"
992,"YDR165W","S000002572","chrIV",784871,786205,1335,10,181,24,8,219,0.171,474,0.355,146,56,70,0.1094,0.0933,0.1167,"TRM82","Transfer RNA Methyltransferase"
993,"YDR166C","S000002573","chrIV",786306,789221,2916,12,175,7,2,201,0.102,1206,0.414,333,73,53,0.1142,0.1217,0.0883,"SEC5","SECretory"
994,"YDR167W","S000002574","chrIV",789449,790069,621,0,0,2,4,193,0,621,1,54,59,69,0.087,0.0983,0.115,"TAF10","TATA binding protein-Associated Factor"
995,"YDR168W","S000002575","chrIV",790328,791848,1521,1,1,4,13,186,0.018,1423,0.936,178,60,68,0.117,0.1,0.1133,"CDC37","Cell Division Cycle"
996,"YDR169C","S000002576","chrIV",792348,793889,1542,11,423,14,49,227,0.157,224,0.145,135,70,64,0.0875,0.1167,0.1067,"STB3","Sin Three Binding protein"
997,"YDR169C-A","S000028538","chrIV",794574,794723,150,3,83,51,11,240,0.417,87,0.58,12,62,50,0.08,0.1033,0.0833,,
998,"YDR170C","S000002577","chrIV",796193,802222,6030,1,3,12,15,380,0.002,3747,0.621,601,57,50,0.0997,0.095,0.0833,"SEC7","SECretory"
999,"YDR171W","S000002578","chrIV",806621,807748,1128,31,619,55,27,322,0.427,161,0.143,88,51,54,0.078,0.085,0.09,"HSP42","Heat Shock Protein"
1000,"YDR172W","S000002579","chrIV",808324,810381,2058,0,0,28,7,399,0,2058,1,198,55,80,0.0962,0.0917,0.1333,"SUP35","SUPpressor"
1001,"YDR173C","S000002580","chrIV",810565,811632,1068,0,0,7,36,418,0,1068,1,105,77,49,0.0983,0.1283,0.0817,"ARG82","ARGinine requiring"
1002,"YDR174W","S000002581","chrIV",812110,812850,741,9,144,36,18,418,0.145,179,0.242,56,48,75,0.0756,0.08,0.125,"HMO1","High MObility group (HMG) family"
1003,"YDR175C","S000002582","chrIV",813193,814152,960,3,10,22,0,390,0.04,857,0.893,96,66,50,0.1,0.11,0.0833,"RSM24","Ribosomal Small subunit of Mitochondria"
1004,"YDR176W","S000002583","chrIV",814452,816560,2109,3,4,1,26,350,0.02,1472,0.698,192,55,59,0.091,0.0917,0.0983,"NGG1",
1005,"YDR177W","S000002584","chrIV",816878,817525,648,3,18,27,49,281,0.082,298,0.46,63,58,48,0.0972,0.0967,0.08,"UBC1","UBiquitin-Conjugating"
1006,"YDR178W","S000002585","chrIV",817950,818495,546,19,511,39,12,245,0.71,122,0.223,33,55,66,0.0604,0.0917,0.11,"SDH4","Succinate DeHydrogenase"
1007,"YDR179C","S000002586","chrIV",818708,819196,489,11,152,10,22,236,0.477,117,0.239,59,45,69,0.1207,0.075,0.115,"CSN9","Cop9 SigNalosome subunit"
1008,"YDR179W-A","S000002587","chrIV",819433,820824,1392,17,106,22,12,269,0.227,405,0.291,159,72,58,0.1142,0.12,0.0967,"NVJ3","Nucleus-Vacuole Junction"
1009,"YDR180W","S000002588","chrIV",821295,825776,4482,0,0,13,7,404,0,4482,1,479,67,55,0.1069,0.1117,0.0917,"SCC2","Sister Chromatid Cohesion"
1010,"YDR181C","S000002589","chrIV",825910,827355,1446,13,187,3,3,420,0.107,270,0.187,124,67,59,0.0858,0.1117,0.0983,"SAS4","Something About Silencing"
1011,"YDR182W","S000002590","chrIV",827582,829057,1476,1,35,4,9,393,0.009,1470,0.996,151,65,62,0.1023,0.1083,0.1033,"CDC1","Cell Division Cycle"
1012,"YDR182W-A","S000028539","chrIV",829151,829354,204,1,7,2,15,327,0.075,142,0.696,13,64,72,0.0637,0.1067,0.12,,
1013,"YDR183W","S000002591","chrIV",829585,830277,693,16,160,9,10,305,0.378,172,0.248,82,61,70,0.1183,0.1017,0.1167,"PLP1","Phosducin-Like Protein"
1014,"YDR184C","S000002592","chrIV",830629,831513,885,11,110,15,24,302,0.206,386,0.436,93,68,64,0.1051,0.1133,0.1067,"ATC1","Aip Three Complex"
1015,"YDR185C","S000002593","chrIV",831934,832473,540,20,456,22,24,303,0.611,81,0.15,50,68,60,0.0926,0.1133,0.1,"UPS3","UnProceSsed"
1016,"YDR186C","S000002594","chrIV",832859,835492,2634,46,490,24,82,377,0.232,491,0.186,240,59,37,0.0911,0.0983,0.0617,"SND1","Srp-iNDependent targeting"
1017,"YDR188W","S000002596","chrIV",836421,838061,1641,2,18,73,5,384,0.016,835,0.509,123,32,68,0.075,0.0533,0.1133,"CCT6","Chaperonin Containing TCP-1"
1018,"YDR189W","S000002597","chrIV",838392,840392,2001,0,0,6,6,403,0,2001,1,188,63,67,0.094,0.105,0.1117,"SLY1","Suppressor of Loss of Ypt1"
1019,"YDR190C","S000002598","chrIV",840604,841995,1392,1,4,5,17,375,0.01,1385,0.995,111,68,60,0.0797,0.1133,0.1,"RVB1","RuVB-like"
1020,"YDR191W","S000002599","chrIV",842337,843449,1113,17,336,12,9,349,0.219,345,0.31,94,56,55,0.0845,0.0933,0.0917,"HST4","Homolog of SIR Two (SIR2)"
1021,"YDR192C","S000002600","chrIV",843569,844861,1293,20,698,8,37,346,0.224,255,0.197,102,59,59,0.0789,0.0983,0.0983,"NUP42","NUclear Pore"
1022,"YDR194C","S000002602","chrIV",845952,847946,1995,4,8,15,21,267,0.038,917,0.46,198,75,54,0.0992,0.125,0.09,"MSS116","Mitochondrial Splicing System"
1023,"YDR194W-A","S000028541","chrIV",848071,848223,153,10,46,7,4,228,1.433,73,0.477,21,52,54,0.1373,0.0867,0.09,,
1024,"YDR195W","S000002603","chrIV",848599,850200,1602,7,28,20,6,263,0.083,721,0.45,156,57,68,0.0974,0.095,0.1133,"REF2","RNA End Formation"
1025,"YDR196C","S000002604","chrIV",850274,850999,726,0,0,11,5,271,0,726,1,73,56,63,0.1006,0.0933,0.105,"CAB5",
1026,"YDR197W","S000002605","chrIV",851228,852397,1170,5,24,4,13,312,0.068,525,0.449,121,56,67,0.1034,0.0933,0.1117,"CBS2","Cytochrome B Synthesis"
1027,"YDR198C","S000002606","chrIV",852533,853972,1440,19,234,5,24,314,0.21,624,0.433,146,70,65,0.1014,0.1167,0.1083,"RKM2","Ribosomal protein lysine (K) Methyltransferase"
1028,"YDR200C","S000002608","chrIV",854279,856093,1815,3,25,26,0,309,0.027,1613,0.889,169,71,64,0.0931,0.1183,0.1067,"VPS64","Vacuolar Protein Sorting"
1029,"YDR201W","S000002609","chrIV",856317,856814,498,0,0,0,4,257,0,498,1,49,58,65,0.0984,0.0967,0.1083,"SPC19","Spindle Pole Component"
1030,"YDR202C","S000002610","chrIV",856898,857953,1056,11,86,0,26,286,0.182,288,0.273,116,63,49,0.1098,0.105,0.0817,"RAV2","Regulator of (H+)-ATPase in Vacuolar membrane"
1031,"YDR204W","S000002612","chrIV",858137,859144,1008,19,180,19,19,280,0.337,175,0.174,86,64,52,0.0853,0.1067,0.0867,"COQ4","COenzyme Q"
1032,"YDR205W","S000002613","chrIV",859346,861520,2175,29,438,23,30,320,0.208,503,0.231,202,46,68,0.0929,0.0767,0.1133,"MSC2","Meiotic Sister-Chromatid recombination"
1033,"YDR206W","S000002614","chrIV",862054,864708,2655,37,366,29,4,305,0.228,389,0.147,260,68,70,0.0979,0.1133,0.1167,"EBS1","Est1-like Bcy1 Suppressor"
1034,"YDR207C","S000002615","chrIV",865012,867522,2511,11,46,10,30,258,0.085,841,0.335,181,74,33,0.0721,0.1233,0.055,"UME6","Unscheduled Meiotic gene Expression"
1035,"YDR208W","S000002616","chrIV",868224,870563,2340,8,171,29,39,242,0.071,1582,0.676,223,40,49,0.0953,0.0667,0.0817,"MSS4","Multicopy Suppressor of Stt4 mutation"
1036,"YDR210W","S000002618","chrIV",871074,871301,228,5,97,41,6,194,0.565,73,0.32,21,48,68,0.0921,0.08,0.1133,,
1037,"YDR211W","S000002619","chrIV",884727,886865,2139,1,1,22,8,408,0.006,1240,0.58,227,61,61,0.1061,0.1017,0.1017,"GCD6","General Control Derepressed"
1038,"YDR212W","S000002620","chrIV",887232,888911,1680,2,30,8,36,431,0.014,1649,0.982,159,64,54,0.0946,0.1067,0.09,"TCP1","Tailless Complex Polypeptide"
1039,"YDR213W","S000002621","chrIV",889751,892492,2742,53,1570,24,45,456,0.212,327,0.119,193,54,55,0.0704,0.09,0.0917,"UPC2","UPtake Control"
1040,"YDR214W","S000002622","chrIV",892875,893927,1053,83,2730,59,108,481,0.819,120,0.114,76,56,31,0.0722,0.0933,0.0517,"AHA1","Activator of Heat shock protein 90 ATPase"
1041,"YDR216W","S000002624","chrIV",895035,899006,3972,42,459,30,16,558,0.095,450,0.113,407,64,62,0.1025,0.1067,0.1033,"ADR1","Alcohol Dehydrogenase II synthesis Regulator"
1042,"YDR217C","S000002625","chrIV",899551,903480,3930,29,339,12,21,676,0.055,754,0.192,366,64,64,0.0931,0.1067,0.1067,"RAD9","RADiation sensitive"
1043,"YDR218C","S000002626","chrIV",903781,905052,1272,17,80,20,17,555,0.12,353,0.278,129,59,71,0.1014,0.0983,0.1183,"SPR28","SPorulation Regulated"
1044,"YDR219C","S000002627","chrIV",905455,906852,1398,15,165,19,42,461,0.116,511,0.366,141,73,65,0.1009,0.1217,0.1083,"MFB1","Mitochondria-associated F-Box protein"
1045,"YDR221W","S000002629","chrIV",907330,909438,2109,40,685,44,49,485,0.196,609,0.289,178,69,56,0.0844,0.115,0.0933,"GTB1","Glucosidase Two Beta-subunit"
1046,"YDR222W","S000002630","chrIV",910054,911301,1248,17,244,48,43,454,0.15,454,0.364,130,54,55,0.1042,0.09,0.0917,,
1047,"YDR223W","S000002631","chrIV",912099,913502,1404,28,503,42,19,449,0.222,192,0.137,122,60,67,0.0869,0.1,0.1117,"CRF1","Co-Repressor with FHL1"
1048,"YDR224C","S000002632","chrIV",914317,914712,396,0,0,23,30,458,0,396,1,36,80,57,0.0909,0.1333,0.095,"HTB1","Histone h Two B"
1049,"YDR225W","S000002633","chrIV",915530,915928,399,1,3,33,36,467,0.027,299,0.749,43,60,58,0.1078,0.1,0.0967,"HTA1","Histone h Two A"
1050,"YDR226W","S000002634","chrIV",916486,917154,669,5,73,36,30,526,0.071,401,0.599,57,61,62,0.0852,0.1017,0.1033,"ADK1","ADenylate Kinase"
1051,"YDR227W","S000002635","chrIV",917571,921647,4077,22,193,30,8,689,0.039,1044,0.256,372,69,70,0.0912,0.115,0.1167,"SIR4","Silent Information Regulator"
1052,"YDR228C","S000002636","chrIV",921926,923806,1881,1,6,8,15,581,0.005,1842,0.979,189,64,60,0.1005,0.1067,0.1,"PCF11","Protein 1 of Cleavage and polyadenylation Factor I"
1053,"YDR229W","S000002637","chrIV",924785,926146,1362,43,1065,37,18,536,0.295,189,0.139,119,59,45,0.0874,0.0983,0.075,"IVY1","Interacting with Vps33p and Ypt7p"
1054,"YDR231C","S000002639","chrIV",926293,926910,618,17,128,27,41,478,0.288,124,0.201,37,53,45,0.0599,0.0883,0.075,"COX20","Cytochrome c OXidase"
1055,"YDR232W","S000002640","chrIV",927452,929098,1647,5,13,42,24,451,0.034,665,0.404,130,43,58,0.0789,0.0717,0.0967,"HEM1","HEMe biosynthesis"
1056,"YDR233C","S000002641","chrIV",929470,930357,888,26,611,21,108,440,0.333,209,0.235,80,62,54,0.0901,0.1033,0.09,"RTN1","ReTiculoN-like"
1057,"YDR234W","S000002642","chrIV",931129,933210,2082,58,1402,91,7,459,0.303,196,0.094,161,58,71,0.0773,0.0967,0.1183,"LYS4","LYSine requiring"
1058,"YDR235W","S000002643","chrIV",933504,935138,1635,1,20,13,1,470,0.007,1603,0.98,178,72,67,0.1089,0.12,0.1117,"PRP42","Pre-mRNA Processing"
1059,"YDR236C","S000002644","chrIV",935236,935892,657,3,15,2,10,427,0.053,583,0.887,68,74,64,0.1035,0.1233,0.1067,"FMN1","FMN biosynthesis"
1060,"YDR237W","S000002645","chrIV",936615,937493,879,2,13,9,12,442,0.026,510,0.58,72,69,70,0.0819,0.115,0.1167,"MRPL7","Mitochondrial Ribosomal Protein, Large subunit"
1061,"YDR238C","S000002646","chrIV",937895,940816,2922,1,2,12,14,438,0.004,1882,0.644,277,66,49,0.0948,0.11,0.0817,"SEC26","SECretory"
1062,"YDR239C","S000002647","chrIV",941057,943420,2364,22,235,9,16,302,0.154,678,0.287,218,65,60,0.0922,0.1083,0.1,,
1063,"YDR240C","S000002648","chrIV",943674,945152,1479,2,7,24,16,284,0.024,997,0.674,142,55,55,0.096,0.0917,0.0917,"SNU56","Small NUclear ribonucleoprotein associated"
1064,"YDR242W","S000002650","chrIV",946807,948456,1650,35,511,33,1,409,0.259,200,0.121,149,60,65,0.0903,0.1,0.1083,"AMD2","AMiDase"
1065,"YDR243C","S000002651","chrIV",948518,950284,1767,0,0,8,29,465,0,1767,1,172,63,69,0.0973,0.105,0.115,"PRP28","Pre-mRNA Processing"
1066,"YDR244W","S000002652","chrIV",950563,952401,1839,24,263,26,14,486,0.134,432,0.235,176,59,67,0.0957,0.0983,0.1117,"PEX5","PEroXin"
1067,"YDR245W","S000002653","chrIV",952800,953981,1182,6,43,17,13,488,0.052,956,0.809,115,71,56,0.0973,0.1183,0.0933,"MNN10","MaNNosyltransferase"
1068,"YDR246W","S000002654","chrIV",954288,954947,660,4,80,18,99,499,0.061,642,0.973,53,55,39,0.0803,0.0917,0.065,"TRS23","TRapp Subunit"
1069,"YDR246W-A","S000028542","chrIV",955133,955333,201,35,1571,30,64,518,1.681,27,0.134,15,51,45,0.0746,0.085,0.075,,
1070,"YDR247W","S000002655","chrIV",956013,957398,1386,15,188,52,19,522,0.104,224,0.162,144,47,60,0.1039,0.0783,0.1,"VHS1","Viable in a Hal3 Sit4 background"
1071,"YDR248C","S000002656","chrIV",957758,958339,582,9,133,19,16,497,0.156,219,0.376,50,56,64,0.0859,0.0933,0.1067,,
1072,"YDR249C","S000002657","chrIV",958681,959802,1122,23,384,15,43,528,0.194,221,0.197,114,63,63,0.1016,0.105,0.105,,
1073,"YDR251W","S000002659","chrIV",960614,963106,2493,21,253,39,13,569,0.074,627,0.252,254,58,59,0.1019,0.0967,0.0983,"PAM1","Pp2A Multicopy suppressor"
1074,"YDR252W","S000002660","chrIV",963412,963861,450,2,9,16,5,546,0.041,339,0.753,42,51,61,0.0933,0.085,0.1017,"BTT1","BTf Three"
1075,"YDR253C","S000002661","chrIV",963990,964565,576,10,73,4,45,596,0.146,192,0.333,57,57,74,0.099,0.095,0.1233,"MET32","METhionine requiring"
1076,"YDR254W","S000002662","chrIV",965113,966489,1377,20,142,46,8,631,0.115,183,0.133,151,73,57,0.1097,0.1217,0.095,"CHL4","CHromosome Loss"
1077,"YDR255C","S000002663","chrIV",966557,967822,1266,19,166,5,29,697,0.108,289,0.228,136,67,61,0.1074,0.1117,0.1017,"RMD5","Required for Meiotic nuclear Division"
1078,"YDR256C","S000002664","chrIV",968133,969680,1548,43,580,29,12,748,0.186,130,0.084,127,72,68,0.082,0.12,0.1133,"CTA1","CaTalase A"
1079,"YDR257C","S000002665","chrIV",969990,971474,1485,21,336,19,30,772,0.092,323,0.218,160,57,69,0.1077,0.095,0.115,"RKM4","Ribosomal lysine (K) Methyltransferase"
1080,"YDR258C","S000002666","chrIV",971808,974243,2436,36,354,29,54,742,0.1,351,0.144,220,68,55,0.0903,0.1133,0.0917,"HSP78","Heat Shock Protein"
1081,"YDR259C","S000002667","chrIV",974631,975782,1152,20,303,51,45,706,0.123,252,0.219,116,57,66,0.1007,0.095,0.11,"YAP6","Yeast homolog of AP-1"
1082,"YDR260C","S000002668","chrIV",976717,977229,513,101,5103,48,57,655,1.503,25,0.049,39,52,53,0.076,0.0867,0.0883,"SWM1","Spore Wall Maturation"
1083,"YDR261C","S000002669","chrIV",977521,979209,1689,55,1298,105,38,646,0.252,135,0.08,154,57,68,0.0912,0.095,0.1133,"EXG2","EXo-1,3-beta-Glucanase"
1084,"YDR262W","S000002670","chrIV",993134,993952,819,16,351,56,18,274,0.356,207,0.253,73,65,70,0.0891,0.1083,0.1167,,
1085,"YDR263C","S000002671","chrIV",994242,995534,1293,19,302,14,22,340,0.216,251,0.194,136,63,69,0.1052,0.105,0.115,"DIN7","DNA Damage INducible"
1086,"YDR264C","S000002672","chrIV",996029,998323,2295,2,8,21,37,365,0.012,2190,0.954,205,65,55,0.0893,0.1083,0.0917,"AKR1","AnKyrin Repeat containing"
1087,"YDR265W","S000002673","chrIV",998864,999877,1014,16,168,37,9,385,0.205,383,0.378,91,54,56,0.0897,0.09,0.0933,"PEX10","PEroXin"
1088,"YDR266C","S000002674","chrIV",1000104,1002023,1920,33,458,14,36,542,0.159,216,0.112,179,54,70,0.0932,0.09,0.1167,"HEL2","Histone E3 Ligase"
1089,"YDR267C","S000002675","chrIV",1002510,1003502,993,1,1,36,17,610,0.008,645,0.65,87,65,69,0.0876,0.1083,0.115,"CIA1","Cytosolic Iron-sulfur protein Assembly"
1090,"YDR268W","S000002676","chrIV",1004004,1005143,1140,8,44,15,66,632,0.056,432,0.379,117,69,58,0.1026,0.115,0.0967,"MSW1","Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)"
1091,"YDR270W","S000002678","chrIV",1005675,1008689,3015,22,211,67,16,708,0.052,505,0.167,298,57,66,0.0988,0.095,0.11,"CCC2","Cross-Complements Ca(2+) phenotype of csg1"
1092,"YDR272W","S000002680","chrIV",1009010,1009834,825,14,112,18,24,683,0.124,192,0.233,69,60,53,0.0836,0.1,0.0883,"GLO2","GLyOxalase"
1093,"YDR273W","S000002681","chrIV",1010176,1011273,1098,17,233,29,97,683,0.113,299,0.272,87,48,38,0.0792,0.08,0.0633,"DON1","DONut"
1094,"YDR275W","S000002683","chrIV",1012252,1012959,708,16,184,82,29,707,0.16,126,0.178,63,37,59,0.089,0.0617,0.0983,"BSC2","Bypass of Stop Codon"
1095,"YDR276C","S000002684","chrIV",1013476,1013643,168,0,0,29,71,688,0,168,1,13,62,46,0.0774,0.1033,0.0767,"PMP3","Plasma Membrane Proteolipid"
1096,"YDR277C","S000002685","chrIV",1014401,1015702,1302,21,305,83,21,705,0.114,178,0.137,110,53,53,0.0845,0.0883,0.0883,"MTH1","MSN Three Homolog"
1097,"YDR279W","S000002687","chrIV",1019368,1020420,1053,13,270,28,11,655,0.094,190,0.18,111,60,71,0.1054,0.1,0.1183,"RNH202","RNase H"
1098,"YDR280W","S000002688","chrIV",1020747,1021664,918,0,0,14,16,655,0,918,1,77,73,62,0.0839,0.1217,0.1033,"RRP45","Ribosomal RNA Processing"
1099,"YDR281C","S000002689","chrIV",1022007,1022321,315,2,184,16,45,579,0.055,304,0.965,22,66,54,0.0698,0.11,0.09,"PHM6","PHosphate Metabolism"
1100,"YDR282C","S000002690","chrIV",1023511,1024755,1245,15,118,8,20,536,0.112,227,0.182,135,65,50,0.1084,0.1083,0.0833,"MRX10","Mitochondrial oRganization of gene eXpression (MIOREX)"
1101,"YDR283C","S000002691","chrIV",1025070,1030049,4980,43,247,24,32,543,0.08,467,0.094,538,59,67,0.108,0.0983,0.1117,"GCN2","General Control Nonderepressible"
1102,"YDR284C","S000002692","chrIV",1030550,1031419,870,20,507,31,39,400,0.287,157,0.18,81,72,60,0.0931,0.12,0.1,"DPP1","Diacylglycerol Pyrophosphate Phosphatase"
1103,"YDR285W","S000002693","chrIV",1032436,1035063,2628,29,354,41,11,412,0.134,360,0.137,252,61,64,0.0959,0.1017,0.1067,"ZIP1","molecular ZIPper"
1104,"YDR286C","S000002694","chrIV",1035231,1035575,345,4,15,6,37,333,0.174,241,0.699,30,57,61,0.087,0.095,0.1017,"MGP12","Mitochondrial Glutaredoxin-like Protein of 12 kDa"
1105,"YDR287W","S000002695","chrIV",1035995,1036873,879,6,42,37,11,342,0.1,411,0.468,81,60,57,0.0922,0.1,0.095,"INM2","INositol Monophosphatase"
1106,"YDR288W","S000002696","chrIV",1037195,1038106,912,2,3,13,14,336,0.033,687,0.753,102,42,73,0.1118,0.07,0.1217,"NSE3","Non SMC Element"
1107,"YDR289C","S000002697","chrIV",1038280,1039509,1230,18,134,10,14,329,0.222,270,0.22,146,68,72,0.1187,0.1133,0.12,"RTT103","Regulator of Ty1 Transposition"
1108,"YDR291W","S000002699","chrIV",1039728,1042961,3234,51,614,13,5,416,0.19,352,0.109,324,74,59,0.1002,0.1233,0.0983,"HRQ1","Homologous to RecQ protein"
1109,"YDR292C","S000002700","chrIV",1043146,1045011,1866,1,1,13,4,345,0.008,1071,0.574,178,62,60,0.0954,0.1033,0.1,"SRP101","Signal Recognition Particle"
1110,"YDR293C","S000002701","chrIV",1045640,1049392,3753,18,83,4,13,461,0.052,1016,0.271,331,61,52,0.0882,0.1017,0.0867,"SSD1","Suppressor of SIT4 Deletion"
1111,"YDR294C","S000002702","chrIV",1050459,1052228,1770,33,386,23,31,391,0.238,204,0.115,136,53,65,0.0768,0.0883,0.1083,"DPL1","Dihydrosphingosine Phosphate Lyase"
1112,"YDR295C","S000002703","chrIV",1052623,1054647,2025,18,220,34,41,368,0.121,401,0.198,189,66,51,0.0933,0.11,0.085,"HDA2","Histone DeAcetylase"
1113,"YDR296W","S000002704","chrIV",1055212,1055892,681,6,91,42,48,354,0.124,492,0.722,54,54,43,0.0793,0.09,0.0717,"MHR1","Mitochondrial Homologous Recombination"
1114,"YDR297W","S000002705","chrIV",1056551,1057600,1050,20,277,41,37,346,0.275,181,0.172,91,40,75,0.0867,0.0667,0.125,"SUR2","SUppressor of Rvs161 and rvs167 mutations"
1115,"YDR298C","S000002706","chrIV",1058176,1058814,639,3,10,37,30,359,0.065,281,0.44,62,75,59,0.097,0.125,0.0983,"ATP5","ATP synthase"
1116,"YDR299W","S000002707","chrIV",1059627,1061231,1605,2,4,40,9,350,0.018,1587,0.989,154,60,69,0.096,0.1,0.115,"BFR2","BreFeldin A Resistance"
1117,"YDR300C","S000002708","chrIV",1061505,1062791,1287,1,203,10,7,335,0.012,1279,0.994,128,69,51,0.0995,0.115,0.085,"PRO1","PROline requiring"
1118,"YDR301W","S000002709","chrIV",1063352,1067425,4074,0,0,7,9,403,0,4074,1,416,51,66,0.1021,0.085,0.11,"CFT1","Cleavage Factor Two"
1119,"YDR302W","S000002710","chrIV",1067731,1068390,660,4,9,9,11,275,0.11,633,0.959,65,59,75,0.0985,0.0983,0.125,"GPI11","GlycosylPhosphatidylInositol anchor biosynthesis"
1120,"YDR303C","S000002711","chrIV",1068729,1071386,2658,1,10,14,9,385,0.005,2402,0.904,294,69,53,0.1106,0.115,0.0883,"RSC3","Remodel the Structure of Chromatin"
1121,"YDR304C","S000002712","chrIV",1071880,1072557,678,14,213,9,23,341,0.303,149,0.22,61,50,46,0.09,0.0833,0.0767,"CPR5","Cyclosporin-sensitive Proline Rotamase"
1122,"YDR305C","S000002713","chrIV",1072746,1073488,743,26,457,21,12,347,0.504,90,0.121,69,54,55,0.0929,0.09,0.0917,"HNT2","Histidine triad NucleoTide-binding"
1123,"YDR306C","S000002714","chrIV",1073735,1075171,1437,13,300,24,46,372,0.122,421,0.293,139,68,58,0.0967,0.1133,0.0967,,
1124,"YDR307W","S000002715","chrIV",1075865,1077853,1989,21,277,47,5,425,0.124,544,0.274,201,58,54,0.1011,0.0967,0.09,"PMT7",
1125,"YDR308C","S000002716","chrIV",1078027,1078449,423,1,10,9,13,417,0.028,404,0.955,37,62,58,0.0875,0.1033,0.0967,"SRB7","Suppressor of RNA polymerase B"
1126,"YDR309C","S000002717","chrIV",1079048,1080199,1152,21,250,13,67,432,0.211,271,0.235,97,59,47,0.0842,0.0983,0.0783,"GIC2","GTPase Interactive Component"
1127,"YDR310C","S000002718","chrIV",1081128,1084316,3189,30,336,72,20,506,0.093,549,0.172,257,54,61,0.0806,0.09,0.1017,"SUM1","SUppresor of Mar1-1"
1128,"YDR311W","S000002719","chrIV",1085065,1086993,1929,3,29,17,44,497,0.016,1663,0.862,201,53,58,0.1042,0.0883,0.0967,"TFB1","Transcription Factor B"
