,Standard name,Sc∆ essentiality,Sp∆ essentiality,Final usage in training,Unnamed: 0,id,chrom,start,end,Length,Hits,Reads,Hits_600_bp_upstream,Hits_600_bp_downstream,Neighbourhood Hits,Neighbourhood Index,Max Free Region,Freedom Index,target_seq_counts,600_bp_up_target_seq_counts,600_bp_down_target_seq_counts,target_per_bp,600_up_target_per_bp,600_down_target_per_bp,short name,description
373,S000000970,Ess,Ess,Essential,1887,YER168C,chrV,521029,522669,1641,0,0,10,20,233,0.0,1641,1.0,171,70,55,0.1042,0.1167,0.0917,CCA1,tRNA CCA-pyrophosphorylase
374,S000000758,Ess,Ess,Essential,1645,YEL032W,chrV,86937,89852,2916,0,0,34,32,598,0.0,2916,1.0,248,44,54,0.085,0.0733,0.09,MCM3,MiniChromosome Maintenance
375,S000000752,Ess,Ess,Essential,1653,YEL026W,chrV,101943,102323,381,0,0,19,23,382,0.0,381,1.0,32,77,60,0.084,0.1283,0.1,SNU13,Small NUclear ribonucleoprotein associated
376,S000000357,Ess,Ess,Essential,409,YBR153W,chrII,547460,548194,735,1,1,21,3,617,0.011000000000000001,551,0.75,63,48,75,0.0857,0.08,0.125,RIB7,RIBoflavin biosynthesis
377,S000000359,Ess,Ess,Essential,411,YBR155W,chrII,549771,550928,1158,3,33,20,1,600,0.022000000000000002,935,0.807,92,59,57,0.0794,0.0983,0.095,CNS1,CyclophiliN Seven suppressor
378,S000000358,Ess,Ess,Essential,410,YBR154C,chrII,548362,549009,648,0,0,4,20,609,0.0,648,1.0,69,61,72,0.1065,0.1017,0.12,RPB5,RNA Polymerase B
379,S000005191,Ess,Ess,Essential,5124,YNL247W,chrXIV,182875,185178,2304,0,0,0,30,227,0.0,2304,1.0,226,62,69,0.0981,0.1033,0.115,,
380,S000002255,Ess,Ess,Essential,917,YDL097C,chrIV,285391,286695,1305,0,0,10,17,284,0.0,1305,1.0,110,65,47,0.0843,0.1083,0.0783,RPN6,Regulatory Particle Non-ATPase
381,S000005582,Ess,Ess,Essential,5702,YOR056C,chrXV,430247,431626,1380,1,7,33,5,469,0.008,1361,0.986,120,49,65,0.087,0.0817,0.1083,NOB1,Nin1 (One) Binding protein
382,S000004056,Ess,Ess,Essential,4082,YLR066W,chrXII,267169,267723,555,1,7,7,4,381,0.024,529,0.953,60,48,67,0.1081,0.08,0.1117,SPC3,Signal Peptidase Complex
383,S000005457,Ess,Ess,Essential,5537,YOL097C,chrXV,136527,137825,1299,2,2,42,4,394,0.02,1047,0.8059999999999999,104,60,62,0.0801,0.1,0.1033,WRS1,W (tryptophan) RS (tRNA synthetase)
384,S000005454,Ess,Ess,Essential,5540,YOL094C,chrXV,141584,142555,972,0,0,14,0,283,0.0,972,1.0,97,60,55,0.0998,0.1,0.0917,RFC4,Replication Factor C
385,S000004186,Ess,Ess,Essential,4230,YLR196W,chrXII,543968,545698,1731,5,160,19,17,544,0.027000000000000003,951,0.5489999999999999,162,64,68,0.0936,0.1067,0.1133,PWP1,Periodic tryptophan (W) Protein
386,S000004187,Ess,Ess,Essential,4231,YLR197W,chrXII,546097,547611,1515,2,4,21,25,528,0.013000000000000001,756,0.499,139,65,55,0.0917,0.1083,0.0917,NOP56,NucleOlar Protein of 56.8 kDa
387,S000004185,Ess,Ess,Essential,4229,YLR195C,chrXII,541937,543304,1368,1,1,40,20,445,0.008,828,0.605,126,57,66,0.0921,0.095,0.11,NMT1,N-Myristoyl Transferase
388,S000004984,Ess,Ess,Essential,5342,YNL039W,chrXIV,555048,556832,1785,3,57,9,10,509,0.017,1530,0.857,160,71,70,0.0896,0.1183,0.1167,BDP1,B Double Prime
389,S000004983,Ess,Ess,Essential,5343,YNL038W,chrXIV,557020,557783,764,1,6,12,18,448,0.015,406,0.531,84,55,52,0.1099,0.0917,0.0867,GPI15,GlycosylPhosphatidylInositol anchor biosynthesis
390,S000001898,Ess,Ess,Essential,1990,YFR002W,chrVI,150016,152535,2520,14,212,22,10,460,0.06,1159,0.46,254,67,60,0.1008,0.1117,0.1,NIC96,Nucleoporin-Interacting Component of 96 kDa
391,S000005057,Ess,Ess,Essential,5263,YNL113W,chrXIV,412771,413199,429,1,14,30,20,447,0.026000000000000002,395,0.9209999999999999,37,61,59,0.0862,0.1017,0.0983,RPC19,RNA Polymerase C
392,S000005054,Ess,Ess,Essential,5266,YNL110C,chrXIV,417826,418488,663,0,0,36,32,675,0.0,663,1.0,56,64,66,0.0845,0.1067,0.11,NOP15,NucleOlar Protein
393,S000006237,Ess,Ess,Essential,6389,YPR033C,chrXVI,637379,639019,1641,0,0,15,15,606,0.0,1641,1.0,154,57,53,0.0938,0.095,0.0883,HTS1,Histidine-Trna Synthetase
394,S000001938,Ess,Ess,Essential,2038,YFR042W,chrVI,238458,239060,603,0,0,9,11,358,0.0,603,1.0,63,72,74,0.1045,0.12,0.1233,KEG1,Kre6-binding ER protein responsible for Glucan synthesis
395,S000001933,Ess,Ess,Essential,2033,YFR037C,chrVI,227513,229186,1674,5,108,35,3,733,0.02,1478,0.883,120,43,51,0.0717,0.0717,0.085,RSC8,Remodel the Structure of Chromatin
396,S000003060,Ess,Ess,Essential,2231,YGL092W,chrVII,337906,341859,3954,13,179,8,2,336,0.049,3064,0.775,375,58,58,0.0948,0.0967,0.0967,NUP145,NUclear Pore
397,S000003061,Ess,Ess,Essential,2230,YGL093W,chrVII,334886,337639,2754,5,61,27,8,407,0.022000000000000002,1685,0.612,239,64,60,0.0868,0.1067,0.1,SPC105,Spindle Pole Component
398,S000005677,Ess,Ess,Essential,5800,YOR151C,chrXV,612997,616671,3675,2,5,5,13,534,0.005,3419,0.93,350,89,66,0.0952,0.1483,0.11,RPB2,RNA Polymerase B
399,S000005674,Ess,Ess,Essential,5797,YOR148C,chrXV,608640,609197,558,5,35,9,26,303,0.14800000000000002,389,0.6970000000000001,48,63,67,0.086,0.105,0.1117,SPP2,Suppressor of PrP
400,S000002430,Ess,Ess,Essential,1043,YDR023W,chrIV,489508,490896,1389,2,9,41,35,396,0.018000000000000002,987,0.711,135,71,49,0.0972,0.1183,0.0817,SES1,SEryl-tRNA Synthetase
401,S000001505,Ess,Ess,Essential,3813,YKL022C,chrXI,394726,397248,2523,3,41,2,8,377,0.016,2289,0.907,249,49,60,0.0987,0.0817,0.1,CDC16,Cell Division Cycle
402,S000005381,Ess,Ess,Essential,5618,YOL021C,chrXV,282421,285426,3006,1,4,16,66,527,0.003,2768,0.9209999999999999,289,64,45,0.0961,0.1067,0.075,DIS3,homolog of S. pombe dis3 (chromosome DISjunction)
403,S000002175,Ess,Ess,Essential,1001,YDL017W,chrIV,424209,425732,1524,2,20,38,10,472,0.013999999999999999,1390,0.912,145,66,53,0.0951,0.11,0.0883,CDC7,Cell Division Cycle
404,S000003530,Ess,Ess,Essential,2703,YHR005C-A,chrVIII,115620,115901,282,5,63,35,27,826,0.107,180,0.638,29,63,64,0.1028,0.105,0.1067,TIM10,Translocase of the Inner Membrane
405,S000003315,Ess,Ess,Essential,2413,YGR083C,chrVII,644860,646815,1956,1,8,17,15,731,0.003,1945,0.9940000000000001,168,68,71,0.0859,0.1133,0.1183,GCD2,General Control Derepressed
406,S000003849,Ess,Ess,Essential,3519,YJR089W,chrX,587718,590582,2865,3,23,19,25,553,0.009000000000000001,1415,0.494,286,61,70,0.0998,0.1017,0.1167,BIR1,Baculoviral IAP Repeat-containing protein
407,S000002857,Ess,Ess,Essential,1489,YDR449C,chrIV,1357580,1358902,1323,0,0,9,30,536,0.0,1323,1.0,150,54,66,0.1134,0.09,0.11,UTP6,U Three Protein
408,S000002590,Ess,Ess,Essential,1208,YDR182W,chrIV,827582,829057,1476,1,35,4,9,393,0.009000000000000001,1470,0.996,151,65,62,0.1023,0.1083,0.1033,CDC1,Cell Division Cycle
409,S000002498,Ess,Ess,Essential,1114,YDR091C,chrIV,626708,628534,1827,1,1,52,24,566,0.005,1147,0.628,203,65,61,0.1111,0.1083,0.1017,RLI1,RNase L Inhibitor
410,S000002597,Ess,Ess,Essential,1217,YDR189W,chrIV,838392,840392,2001,0,0,6,6,403,0.0,2001,1.0,188,63,67,0.094,0.105,0.1117,SLY1,Suppressor of Loss of Ypt1
411,S000001894,Ess,Ess,Essential,1987,YFL002C,chrVI,145114,146934,1821,2,18,35,15,407,0.013000000000000001,1694,0.93,165,75,58,0.0906,0.125,0.0967,SPB4,Suppressor of PAB1
412,S000000325,Ess,Ess,Essential,372,YBR121C,chrII,481364,483367,2004,0,0,33,32,618,0.0,2004,1.0,173,67,67,0.0863,0.1117,0.1117,GRS1,Glycyl-tRNA Synthase
413,S000002579,Ess,Ess,Essential,1197,YDR172W,chrIV,808324,810381,2058,0,0,28,7,399,0.0,2058,1.0,198,55,80,0.0962,0.0917,0.1333,SUP35,SUPpressor
414,S000005257,Ess,Ess,Essential,5057,YNL313C,chrXIV,45308,48022,2715,2,2,16,4,253,0.015,1747,0.643,241,67,66,0.0888,0.1117,0.11,EMW1,Essential for Maintenance of the cell Wall
415,S000004262,Ess,Ess,Essential,4309,YLR272C,chrXII,683672,687202,3531,1,1,8,22,392,0.004,3503,0.992,349,57,83,0.0988,0.095,0.1383,YCS4,Yeast Condensin Subunit
416,S000004267,Ess,Ess,Essential,4314,YLR277C,chrXII,697156,699495,2340,0,0,5,16,415,0.0,2340,1.0,232,57,66,0.0991,0.095,0.11,YSH1,Yeast Seventy-three Homolog
417,S000004266,Ess,Ess,Essential,4313,YLR276C,chrXII,695046,696830,1785,0,0,0,5,348,0.0,1785,1.0,164,73,66,0.0919,0.1217,0.11,DBP9,Dead Box Protein
418,S000004265,Ess,Ess,Essential,4312,YLR275W,chrXII,694378,694800,423,0,0,5,0,276,0.0,423,1.0,51,63,61,0.1206,0.105,0.1017,SMD2,
419,S000004264,Ess,Ess,Essential,4311,YLR274W,chrXII,691555,693882,2328,0,0,14,5,197,0.0,2328,1.0,249,51,67,0.107,0.085,0.1117,MCM5,MiniChromosome Maintenance
420,S000001776,Ess,Ess,Essential,3905,YKR068C,chrXI,570328,570909,582,2,10,10,51,501,0.034,563,0.9670000000000001,55,61,66,0.0945,0.1017,0.11,BET3,Blocked Early in Transport
421,S000004041,Ess,Ess,Essential,4067,YLR051C,chrXII,246324,246977,654,3,48,17,4,491,0.047,602,0.92,62,63,61,0.0948,0.105,0.1017,FCF2,Faf1p Copurifying Factor
422,S000004198,Ess,Ess,Essential,4242,YLR208W,chrXII,559551,560444,894,1,1,30,16,560,0.01,870,0.973,82,54,58,0.0917,0.09,0.0967,SEC13,SECretory
423,S000002598,Ess,Ess,Essential,1218,YDR190C,chrIV,840604,841995,1392,1,4,5,17,375,0.01,1385,0.995,111,68,60,0.0797,0.1133,0.1,RVB1,RuVB-like
424,S000005495,Ess,Ess,Essential,5498,YOL135C,chrXV,69376,70044,669,1,2,34,1,384,0.019,623,0.9309999999999999,62,46,58,0.0927,0.0767,0.0967,MED7,MEDiator complex
425,S000006229,Ess,Ess,Essential,6381,YPR025C,chrXVI,613377,614558,1182,2,100,10,36,510,0.017,1059,0.8959999999999999,111,67,49,0.0939,0.1117,0.0817,CCL1,
426,S000005931,Ess,Ess,Essential,6344,YPL010W,chrXVI,535018,535587,570,0,0,3,5,367,0.0,570,1.0,57,58,53,0.1,0.0967,0.0883,RET3,RETrieval from ER
427,S000005933,Ess,Ess,Essential,6342,YPL012W,chrXVI,529723,533409,3687,1,9,5,10,379,0.004,3646,0.9890000000000001,383,52,71,0.1039,0.0867,0.1183,RRP12,Ribosomal RNA Processing
428,S000001927,Ess,Ess,Essential,2022,YFR031C,chrVI,216594,220106,3513,1,1,9,5,800,0.002,3255,0.927,344,64,59,0.0979,0.1067,0.0983,SMC2,Structural Maintenance of Chromosomes
429,S000001923,Ess,Ess,Essential,2018,YFR027W,chrVI,207452,208297,846,0,0,8,2,355,0.0,846,1.0,71,60,44,0.0839,0.1,0.0733,ECO1,Establishment of COhesion
430,S000004068,Ess,Ess,Essential,4094,YLR078C,chrXII,285736,286559,824,1,1,13,2,625,0.01,767,0.9309999999999999,75,64,55,0.091,0.1067,0.0917,BOS1,Bet One Suppressor
431,S000002266,Ess,Ess,Essential,906,YDL108W,chrIV,267698,268699,1002,0,0,13,13,271,0.0,1002,1.0,97,60,66,0.0968,0.1,0.11,KIN28,protein KINase
432,S000002242,Ess,Ess,Essential,932,YDL084W,chrIV,305237,306577,1341,0,0,24,17,723,0.0,1341,1.0,130,60,59,0.0969,0.1,0.0983,SUB2,SUppressor of Brr1-1
433,S000000805,Ess,Ess,Essential,1687,YER003C,chrV,157736,159118,1383,0,0,15,47,849,0.0,1383,1.0,138,73,49,0.0998,0.1217,0.0817,PMI40,PhosphoMannose Isomerase
434,S000005499,Ess,Ess,Essential,5494,YOL139C,chrXV,60383,61024,642,2,26,15,16,269,0.057999999999999996,611,0.9520000000000001,60,62,57,0.0935,0.1033,0.095,CDC33,Cell Division Cycle
435,S000004156,Ess,Ess,Essential,4200,YLR166C,chrXII,495429,498044,2616,1,33,24,21,582,0.003,2576,0.985,299,69,69,0.1143,0.115,0.115,SEC10,SECretory
436,S000003547,Ess,Ess,Essential,3424,YJL010C,chrX,417562,419562,2001,0,0,19,9,363,0.0,2001,1.0,208,79,58,0.1039,0.1317,0.0967,NOP9,NucleOlar Protein
437,S000003902,Ess,Ess,Essential,3575,YJR141W,chrX,695906,696949,1044,0,0,3,19,464,0.0,1044,1.0,103,57,67,0.0987,0.095,0.1117,IPA1,Important for cleavage and PolyAdenylation
438,S000003307,Ess,Ess,Essential,2405,YGR075C,chrVII,636147,636875,729,3,17,2,11,448,0.046,706,0.968,70,58,60,0.096,0.0967,0.1,PRP38,Pre-mRNA Processing
439,S000003306,Ess,Ess,Essential,2404,YGR074W,chrVII,635712,636152,441,2,9,5,3,485,0.047,311,0.705,29,73,59,0.0658,0.1217,0.0983,SMD1,snRNA Sm binding site protein D1
440,S000003545,Ess,Ess,Essential,3426,YJL008C,chrX,419957,421663,1707,0,0,9,21,368,0.0,1707,1.0,150,54,74,0.0879,0.09,0.1233,CCT8,Chaperonin Containing TCP-1
441,S000005216,Ess,Ess,Essential,5099,YNL272C,chrXIV,126805,129084,2280,5,78,11,8,487,0.023,1472,0.6459999999999999,215,70,54,0.0943,0.1167,0.09,SEC2,SECretory
442,S000002845,Ess,Ess,Essential,1477,YDR437W,chrIV,1337352,1337774,423,7,365,1,30,414,0.2,385,0.91,43,57,50,0.1017,0.095,0.0833,GPI19,Glycosyl PhosphatidylInositol anchor biosynthesis
443,S000001104,Ess,Ess,Essential,2772,YHR062C,chrVIII,222877,223758,882,1,1,42,13,398,0.013999999999999999,762,0.8640000000000001,80,59,55,0.0907,0.0983,0.0917,RPP1,Ribonuclease P Protein
444,S000001107,Ess,Ess,Essential,2776,YHR065C,chrVIII,227532,229037,1506,2,23,40,17,489,0.013999999999999999,1439,0.956,143,66,53,0.095,0.11,0.0883,RRP3,Ribosomal RNA Processing
445,S000006015,Ess,Ess,Essential,6259,YPL094C,chrXVI,369839,370663,825,0,0,36,2,503,0.0,825,1.0,60,57,49,0.0727,0.095,0.0817,SEC62,SECretory
446,S000002452,Ess,Ess,Essential,1067,YDR045C,chrIV,547978,548310,333,0,0,3,12,886,0.0,333,1.0,35,67,61,0.1051,0.1117,0.1017,RPC11,RNA Polymerase C
447,S000004219,Ess,Ess,Essential,4264,YLR229C,chrXII,604212,604787,576,0,0,68,39,478,0.0,576,1.0,45,45,55,0.0781,0.075,0.0917,CDC42,Cell Division Cycle
448,S000004212,Ess,Ess,Essential,4256,YLR222C,chrXII,579318,581771,2454,1,1,17,15,354,0.006,1579,0.643,250,62,53,0.1019,0.1033,0.0883,UTP13,U Three Protein
449,S000003538,Ess,Ess,Essential,3433,YJL001W,chrX,435163,435926,764,1,18,23,40,518,0.013000000000000001,692,0.9059999999999999,72,60,76,0.0942,0.1,0.1267,PRE3,PRoteinase yscE
450,S000001240,Ess,Ess,Essential,2927,YHR197W,chrVIII,493896,496187,2292,2,8,9,11,475,0.009000000000000001,2026,0.884,221,80,77,0.0964,0.1333,0.1283,RIX1,RIbosome eXport
451,S000004529,Ess,Ess,Essential,4601,YML064C,chrXIII,145139,145876,738,0,0,11,12,281,0.0,738,1.0,65,65,52,0.0881,0.1083,0.0867,TEM1,TErmination of M phase
452,S000005483,Ess,Ess,Essential,5510,YOL123W,chrXV,87844,89448,1605,1,5,10,14,692,0.005,1595,0.9940000000000001,138,66,64,0.086,0.11,0.1067,HRP1,Heterogenous nuclear RibonucleoProtein
453,S000006380,Ess,Ess,Essential,6542,YPR176C,chrXVI,891101,892078,978,0,0,1,0,268,0.0,978,1.0,87,58,64,0.08900000000000001,0.0967,0.1067,BET2,Blocked Early in Transport
454,S000001487,Ess,Ess,Essential,3833,YKL004W,chrXI,435580,436785,1206,2,15,14,11,626,0.013000000000000001,1043,0.865,103,57,73,0.0854,0.095,0.1217,AUR1,AUreobasidin A Resistance
455,S000005032,Ess,Ess,Essential,5291,YNL088W,chrXIV,457704,461990,4287,5,20,12,25,460,0.013000000000000001,3253,0.759,427,52,62,0.0996,0.0867,0.1033,TOP2,TOPoisomerase
456,S000006214,Ess,Ess,Essential,6364,YPR010C,chrXVI,577585,581196,3612,1,50,21,29,882,0.002,3603,0.998,328,67,60,0.0908,0.1117,0.1,RPA135,RNA Polymerase A
457,S000001265,Ess,Ess,Essential,3146,YIL003W,chrIX,349122,350003,882,4,10,3,40,692,0.033,598,0.6779999999999999,80,57,69,0.0907,0.095,0.115,CFD1,Cytosolic Fe-S cluster Deficient
458,S000001266,Ess,Ess,Essential,3145,YIL004C,chrIX,347946,348505,560,1,8,18,3,750,0.012,329,0.588,57,74,57,0.1018,0.1233,0.095,BET1,Blocked Early in Transport
459,S000003829,Ess,Ess,Essential,3499,YJR068W,chrX,567643,568704,1062,0,0,2,12,363,0.0,1062,1.0,97,62,54,0.0913,0.1033,0.09,RFC2,Replication Factor C
460,S000002688,Ess,Ess,Essential,1310,YDR280W,chrIV,1020747,1021664,918,0,0,14,16,655,0.0,918,1.0,77,73,62,0.0839,0.1217,0.1033,RRP45,Ribosomal RNA Processing
461,S000002307,Ess,Ess,Essential,863,YDL148C,chrIV,188154,190586,2433,2,2,13,0,176,0.023,1088,0.447,234,69,48,0.0962,0.115,0.08,NOP14,NucleOlar Protein
462,S000002304,Ess,Ess,Essential,866,YDL145C,chrIV,194571,198176,3606,1,3,13,13,186,0.006999999999999999,2534,0.703,304,58,56,0.0843,0.0967,0.0933,COP1,COat Protein
463,S000003825,Ess,Ess,Essential,3495,YJR064W,chrX,555914,557602,1689,1,24,18,5,221,0.013000000000000001,1679,0.9940000000000001,160,67,59,0.0947,0.1117,0.0983,CCT5,Chaperonin Containing TCP-1
464,S000003443,Ess,Ess,Essential,2548,YGR211W,chrVII,915241,916701,1461,2,4,26,26,643,0.011000000000000001,868,0.594,124,49,57,0.0849,0.0817,0.095,ZPR1,Zinc finger PRotein
465,S000003335,Ess,Ess,Essential,2433,YGR103W,chrVII,695417,697234,1818,0,0,6,4,479,0.0,1818,1.0,168,62,73,0.0924,0.1033,0.1217,NOP7,NucleOlar Protein
466,S000003331,Ess,Ess,Essential,2429,YGR099W,chrVII,687899,689965,2067,1,2,0,10,279,0.009000000000000001,2062,0.998,202,55,63,0.0977,0.0917,0.105,TEL2,TELomere maintenance
467,S000000781,Ess,Ess,Essential,1619,YEL055C,chrV,48471,51539,3069,2,3,14,44,625,0.005,3007,0.98,303,53,58,0.0987,0.0883,0.0967,POL5,POLymerase
468,S000002749,Ess,Ess,Essential,1374,YDR341C,chrIV,1151803,1153626,1824,0,0,15,16,386,0.0,1824,1.0,196,73,80,0.1075,0.1217,0.1333,,
469,S000004205,Ess,Ess,Essential,4249,YLR215C,chrXII,570776,571858,1083,2,17,11,10,443,0.021,1025,0.946,102,64,65,0.0942,0.1067,0.1083,CDC123,Cell Division Cycle
470,S000004202,Ess,Ess,Essential,4246,YLR212C,chrXII,564860,566281,1422,0,0,22,52,470,0.0,1422,1.0,128,61,62,0.09,0.1017,0.1033,TUB4,TUBulin
471,S000001061,Ess,Ess,Essential,2718,YHR019C,chrVIII,141894,143558,1665,0,0,33,2,486,0.0,1665,1.0,118,57,48,0.0709,0.095,0.08,DED81,Defines Essential Domain
472,S000003551,Ess,Ess,Essential,3420,YJL014W,chrX,407558,409162,1605,0,0,15,8,420,0.0,1605,1.0,144,54,56,0.0897,0.09,0.0933,CCT3,Chaperonin Containing TCP-1
473,S000001496,Ess,Ess,Essential,3823,YKL013C,chrXI,417508,418023,516,0,0,20,0,242,0.0,516,1.0,49,63,40,0.095,0.105,0.0667,ARC19,ARp2/3 Complex subunit
474,S000001495,Ess,Ess,Essential,3824,YKL012W,chrXI,418310,420061,1752,7,48,0,20,316,0.063,1252,0.715,155,52,61,0.0885,0.0867,0.1017,PRP40,Pre-mRNA Processing
475,S000003818,Ess,Ess,Essential,3488,YJR057W,chrX,544062,544712,651,1,1,15,37,440,0.017,400,0.614,63,72,58,0.0968,0.12,0.0967,CDC8,Cell Division Cycle
476,S000004530,Ess,Ess,Essential,4600,YML065W,chrXIII,142210,144954,2745,1,1,11,10,344,0.005,2679,0.976,267,63,60,0.0973,0.105,0.1,ORC1,Origin Recognition Complex
477,S000005776,Ess,Ess,Essential,5904,YOR250C,chrXV,800970,802307,1338,0,0,1,11,318,0.0,1338,1.0,136,63,53,0.1016,0.105,0.0883,CLP1,CLeavage/Polyadenylation factor Ia subunit
478,S000003074,Ess,Ess,Essential,2217,YGL106W,chrVII,306560,307009,450,1,2,7,33,308,0.036000000000000004,400,0.889,22,57,85,0.0489,0.095,0.1417,MLC1,Myosin Light Chain
479,S000000548,Ess,Ess,Essential,602,YCL043C,chrIII,48653,50221,1569,2,40,34,45,503,0.013000000000000001,1518,0.9670000000000001,108,63,52,0.0688,0.105,0.0867,PDI1,Protein Disulfide Isomerase
480,S000003079,Ess,Ess,Essential,2212,YGL111W,chrVII,299978,301369,1392,4,30,0,9,292,0.049,1249,0.897,129,65,55,0.0927,0.1083,0.0917,NSA1,Nop Seven Associated
481,S000003568,Ess,Ess,Essential,3404,YJL031C,chrX,386368,387438,1071,1,2,14,13,383,0.012,1048,0.9790000000000001,114,63,56,0.1064,0.105,0.0933,BET4,Blocked Early in Transport
482,S000002675,Ess,Ess,Essential,1297,YDR267C,chrIV,1002510,1003502,993,1,1,36,17,610,0.008,645,0.65,87,65,69,0.0876,0.1083,0.115,CIA1,Cytosolic Iron-sulfur protein Assembly
483,S000000823,Ess,Ess,Essential,1709,YER021W,chrV,196948,198519,1572,4,11,24,7,390,0.033,1417,0.9009999999999999,144,55,69,0.0916,0.0917,0.115,RPN3,Regulatory Particle Non-ATPase
484,S000000825,Ess,Ess,Essential,1711,YER023W,chrV,201076,201936,861,0,0,5,30,422,0.0,861,1.0,69,55,61,0.0801,0.0917,0.1017,PRO3,PROline requiring
485,S000000824,Ess,Ess,Essential,1710,YER022W,chrV,198812,200875,2064,0,0,11,5,398,0.0,2064,1.0,226,77,53,0.1095,0.1283,0.0883,SRB4,Suppressor of RNA polymerase B
486,S000003323,Ess,Ess,Essential,2421,YGR091W,chrVII,666341,667825,1485,16,550,5,34,406,0.133,1204,0.8109999999999999,146,64,64,0.0983,0.1067,0.1067,PRP31,Pre-mRNA Processing
487,S000003322,Ess,Ess,Essential,2420,YGR090W,chrVII,662358,666071,3714,0,0,19,5,429,0.0,3714,1.0,390,55,68,0.105,0.0917,0.1133,UTP22,U Three Protein
488,S000003327,Ess,Ess,Essential,2425,YGR095C,chrVII,675671,676342,672,0,0,13,26,451,0.0,672,1.0,53,74,57,0.0789,0.1233,0.095,RRP46,Ribosomal RNA Processing
489,S000003326,Ess,Ess,Essential,2424,YGR094W,chrVII,672186,675500,3315,3,16,27,10,451,0.01,3278,0.9890000000000001,320,59,65,0.0965,0.0983,0.1083,VAS1,VAlyl-tRNA Synthetase
490,S000003175,Ess,Ess,Essential,2113,YGL207W,chrVII,98969,102076,3108,8,121,13,10,334,0.039,2542,0.818,308,62,65,0.0991,0.1033,0.1083,SPT16,SuPpressor of Ty
491,S000002862,Ess,Ess,Essential,1494,YDR454C,chrIV,1366264,1366827,564,0,0,32,31,412,0.0,564,1.0,41,61,65,0.0727,0.1017,0.1083,GUK1,GUanylate Kinase
492,S000000314,Ess,Ess,Essential,360,YBR110W,chrII,458872,460221,1350,2,7,5,13,557,0.013000000000000001,703,0.521,126,55,63,0.0933,0.0917,0.105,ALG1,Asparagine-Linked Glycosylation
493,S000000313,Ess,Ess,Essential,358,YBR109C,chrII,457919,458362,444,0,0,7,5,542,0.0,444,1.0,34,56,57,0.0766,0.0933,0.095,CMD1,CalMoDulin
494,S000004233,Ess,Ess,Essential,4278,YLR243W,chrXII,624203,625021,819,0,0,2,0,313,0.0,819,1.0,68,67,65,0.083,0.1117,0.1083,GPN3,Gly-Pro-Asn (N) motif
495,S000004239,Ess,Ess,Essential,4284,YLR249W,chrXII,636780,639914,3135,3,147,73,37,640,0.006999999999999999,3019,0.963,257,62,61,0.08199999999999999,0.1033,0.1017,YEF3,Yeast Elongation Factor
496,S000003563,Ess,Ess,Essential,3409,YJL026W,chrX,392404,393603,1200,0,0,65,8,386,0.0,1200,1.0,101,42,70,0.0842,0.07,0.1167,RNR2,RiboNucleotide Reductase
497,S000003973,Ess,Ess,Essential,3966,YLL050C,chrXII,39804,40414,611,0,0,37,7,419,0.0,611,1.0,65,77,56,0.1064,0.1283,0.0933,COF1,COFilin
498,S000001049,Ess,Ess,Essential,2705,YHR007C,chrVIII,120091,121683,1593,0,0,16,67,629,0.0,1593,1.0,138,67,53,0.0866,0.1117,0.0883,ERG11,ERGosterol biosynthesis
499,S000003562,Ess,Ess,Essential,3411,YJL025W,chrX,393967,395511,1545,1,1,8,10,386,0.008,1452,0.94,129,65,69,0.0835,0.1083,0.115,RRN7,Regulation of RNA polymerase I
500,S000004901,Ess,Ess,Essential,4982,YMR288W,chrXIII,845571,848486,2916,1,2,3,21,374,0.005,2558,0.877,290,58,63,0.0995,0.0967,0.105,HSH155,Human Sap Homolog
501,S000002815,Ess,Ess,Essential,1447,YDR407C,chrIV,1284069,1287938,3870,1,3,13,35,585,0.002,3793,0.98,390,59,50,0.1008,0.0983,0.0833,TRS120,TRapp Subunit
502,S000003417,Ess,Ess,Essential,2521,YGR185C,chrVII,866336,867520,1185,6,118,28,0,483,0.052000000000000005,767,0.647,96,61,68,0.081,0.1017,0.1133,TYS1,TYrosyl-tRNA Synthetase
503,S000006173,Ess,Ess,Essential,6092,YPL252C,chrXVI,73363,73881,519,0,0,30,30,543,0.0,519,1.0,35,68,73,0.0674,0.1133,0.1217,YAH1,Yeast Adrenodoxin Homolog
504,S000003418,Ess,Ess,Essential,2522,YGR186W,chrVII,867774,869981,2208,1,4,0,10,459,0.005,1796,0.813,203,62,53,0.0919,0.1033,0.0883,TFG1,Transcription Factor G
505,S000005546,Ess,Ess,Essential,5664,YOR020C,chrXV,370524,370844,321,0,0,21,14,531,0.0,321,1.0,24,57,67,0.0748,0.095,0.1117,HSP10,Heat Shock Protein
506,S000004016,Ess,Ess,Essential,4042,YLR026C,chrXII,195450,196472,1023,0,0,15,19,598,0.0,1023,1.0,88,53,52,0.086,0.0883,0.0867,SED5,Suppressor of Erd2 Deletion
507,S000005949,Ess,Ess,Essential,6326,YPL028W,chrXVI,498096,499292,1197,0,0,24,24,510,0.0,1197,1.0,86,47,60,0.0718,0.0783,0.1,ERG10,ERGosterol biosynthesis
508,S000001207,Ess,Ess,Essential,2888,YHR164C,chrVIII,424610,429178,4569,1,2,16,18,318,0.003,4494,0.9840000000000001,449,51,60,0.0983,0.085,0.1,DNA2,DNA synthesis defective
