Standard name,id,short name,description
S000001356,YIL094C,LYS12,LYSine requiring
S000001357,YIL095W,PRK1,p53 Regulatory Kinase
S000001358,YIL096C,BMT5,Base Methyltransferase of Twenty five S rRNA 5
S000001359,YIL097W,FYV10,Function required for Yeast Viability
S000001360,YIL098C,FMC1,Formation of Mitochondrial Complexes
S000001361,YIL099W,SGA1,Sporulation-specific GlycoAmylase
S000001363,YIL101C,XBP1,XhoI site-Binding Protein
S000001364,YIL102C,,
S000001365,YIL103W,DPH1,DiPHthamide biosynthesis
S000001366,YIL104C,SHQ1,Small nucleolar RNAs of the box H/ACA family Quantitative accumulation
S000001367,YIL105C,SLM1,Synthetic Lethal with Mss4
S000001368,YIL106W,MOB1,Mps One Binder
S000001369,YIL107C,PFK26,6-PhosphoFructo-2-Kinase
S000001370,YIL108W,,
S000001371,YIL109C,SEC24,SECretory
S000001372,YIL110W,HPM1,Histidine Protein Methyltransferase
S000001373,YIL111W,COX5B,Cytochrome c OXidase
S000001374,YIL112W,HOS4,Hda One Similar
S000001375,YIL113W,SDP1,Stress-inducible Dual specificity Phosphatase
S000001376,YIL114C,POR2,PORin
S000001377,YIL115C,NUP159,NUclear Pore
S000001378,YIL116W,HIS5,HIStidine requiring
S000001379,YIL117C,PRM5,Pheromone-Regulated Membrane protein
S000001380,YIL118W,RHO3,Ras HOmolog
S000001381,YIL119C,RPI1,Ras-cAMP Pathway Inhibitor
S000001382,YIL120W,QDR1,QuiniDine Resistance
S000001383,YIL121W,QDR2,QuiniDine Resistance
S000001384,YIL122W,POG1,Promoter Of Growth
S000001385,YIL123W,SIM1,Start Independent of Mitosis
S000001386,YIL124W,AYR1,1-AcyldihYdroxyacetone-phosphate Reductase
S000001387,YIL125W,KGD1,alpha-KetoGlutarate Dehydrogenase
S000001388,YIL126W,STH1,SNF Two Homolog
S000001389,YIL127C,RRT14,Regulator of rDNA Transcription
S000001390,YIL128W,MET18,METhionine requiring
S000001391,YIL129C,TAO3,Transcriptional Activator of OCH1
S000001392,YIL130W,ASG1,Activator of Stress Genes
S000001393,YIL131C,FKH1,ForK head Homolog
S000001394,YIL132C,CSM2,Chromosome Segregation in Meiosis
S000001395,YIL133C,RPL16A,Ribosomal Protein of the Large subunit
S000001396,YIL134W,FLX1,FLavin eXchange
S000001397,YIL135C,VHS2,Viable in a Hal3 Sit4 background
S000001398,YIL136W,OM45,Outer Membrane
S000001399,YIL137C,TMA108,Translation Machinery Associated
S000001400,YIL138C,TPM2,TroPoMyosin
S000001401,YIL139C,REV7,REVersionless
S000001402,YIL140W,AXL2,AXiaL 2 bud site selection
S000001404,YIL142W,CCT2,Chaperonin Containing TCP-1
S000001405,YIL143C,SSL2,Suppressor of Stem-Loop mutation
S000001406,YIL144W,NDC80,Nuclear Division Cycle
S000001407,YIL145C,PAN6,PANtothenate biosynthesis
S000001408,YIL146C,ATG32,AuTophaGy related
S000001409,YIL147C,SLN1,Synthetic Lethal of N-end rule
S000001410,YIL148W,RPL40A,Ribosomal Protein of the Large subunit
S000001411,YIL149C,MLP2,Myosin-Like Protein
S000001412,YIL150C,MCM10,MiniChromosome Maintenance
S000001413,YIL151C,ESL1,EST/SMG-like
S000001414,YIL152W,,
S000001415,YIL153W,RRD1,Resistant to Rapamycin Deletion
S000001416,YIL154C,IMP2',Independent of Mitochondrial Particle
S000001417,YIL155C,GUT2,Glycerol UTilization
S000001418,YIL156W,UBP7,UBiquitin-specific Protease
S000001419,YIL157C,COA1,Cytochrome Oxidase Assembly
S000001420,YIL158W,AIM20,Altered Inheritance rate of Mitochondria
S000001421,YIL159W,BNR1,BNi1 Related
S000001422,YIL160C,POT1,Peroxisomal Oxoacyl Thiolase
S000001423,YIL161W,,
S000001424,YIL162W,SUC2,SUCrose
S000001425,YIL163C,,
S000001426,YIL164C,NIT1,NITrilase superfamily
S000001427,YIL165C,,
S000001428,YIL166C,SOA1,SulfOnAte transport
S000001431,YIL169C,CSS1,Condition Specific Secretion
S000001440,YIR001C,SGN1,Slower Growth on Non-fermentable carbon sources
S000001441,YIR002C,MPH1,Mutator PHenotype
S000001442,YIR003W,AIM21,Altered Inheritance rate of Mitochondria
S000001443,YIR004W,DJP1,DnaJ Protein
S000001444,YIR005W,IST3,Increased Sodium Tolerance
S000001445,YIR006C,PAN1,Poly(A)-binding protein-dependent poly(A) riboNuclease
S000001446,YIR007W,EGH1,Cryptococcus neoformans EGCrP2 Homolog
S000001447,YIR008C,PRI1,DNA PRImase
S000001448,YIR009W,MSL1,MUD Synthetic Lethal
S000001449,YIR010W,DSN1,Dosage Suppressor of NNF1
S000001450,YIR011C,STS1,Sec Twenty-three Suppressor 1
S000001451,YIR012W,SQT1,Suppressor of QSR1 Truncations
S000001452,YIR013C,GAT4,
S000001453,YIR014W,VLD1,Vacuole Localized Dsc protein
S000001454,YIR015W,RPR2,RNase P Ribonucleoprotein
S000001455,YIR016W,,
S000001456,YIR017C,MET28,METhionine
S000001457,YIR018W,YAP5,Yeast AP-1
S000001459,YIR020C,,
S000001460,YIR021W,MRS1,Mitochondrial RNA Splicing
S000001461,YIR022W,SEC11,SECretory
S000001462,YIR023W,DAL81,Degradation of Allantoin
S000001463,YIR024C,INA22,INner membrane Assembly 22 kDa
S000001464,YIR025W,MND2,Meiotic Nuclear Divisions
S000001465,YIR026C,YVH1,Yeast vaccinia virus VH1 Homolog
S000001466,YIR027C,DAL1,Degradation of Allantoin
S000001467,YIR028W,DAL4,Degradation of Allantoin
S000001468,YIR029W,DAL2,Degradation of Allantoin
S000001469,YIR030C,DCG1,Dal80p-Controlled Gene
S000001470,YIR031C,DAL7,Degradation of Allantoin
S000001471,YIR032C,DAL3,Degradation of Allantoin
S000001472,YIR033W,MGA2,Multicopy suppressor of GAm1 (snf2)
S000001473,YIR034C,LYS1,LYSine requiring
S000001474,YIR035C,NRE1,Novel REductase
S000001475,YIR036C,IRC24,Increased Recombination Centers
S000001476,YIR037W,HYR1,HYdroperoxide Resistance
S000001477,YIR038C,GTT1,GlutaThione Transferase
S000001478,YIR039C,YPS6,YaPSin
S000001481,YIR042C,,
S000001484,YKL001C,MET14,METhionine requiring
S000001485,YKL002W,DID4,Doa4-Independent Degradation
S000001486,YKL003C,MRP17,Mitochondrial Ribosomal Protein
S000001487,YKL004W,AUR1,AUreobasidin A Resistance
S000001488,YKL005C,BYE1,BYpass of ESS1
S000001489,YKL006W,RPL14A,Ribosomal Protein of the Large subunit
S000001490,YKL007W,CAP1,CAPping
S000001491,YKL008C,LAC1,Longevity-Assurance gene Cognate (LAG1 Cognate)
S000001492,YKL009W,MRT4,mRNA Turnover 4
S000001493,YKL010C,UFD4,Ubiquitin Fusion Degradation protein
S000001494,YKL011C,CCE1,Cruciform Cutting Endonuclease
S000001495,YKL012W,PRP40,Pre-mRNA Processing
S000001496,YKL013C,ARC19,ARp2/3 Complex subunit
S000001497,YKL014C,URB1,Unhealthy Ribosome Biogenesis
S000001498,YKL015W,PUT3,Proline UTilization
S000001499,YKL016C,ATP7,ATP synthase
S000001500,YKL017C,HCS1,dna HeliCaSe
S000001501,YKL018W,SWD2,"Set1c, WD40 repeat protein"
S000001502,YKL019W,RAM2,RAS protein and A-factor Maturation
S000001503,YKL020C,SPT23,SuPpressor of Ty
S000001504,YKL021C,MAK11,MAintenance of Killer
S000001505,YKL022C,CDC16,Cell Division Cycle
S000001506,YKL023W,,
S000001507,YKL024C,URA6,URAcil requiring
S000001508,YKL025C,PAN3,Poly(A) Nuclease
S000001509,YKL026C,GPX1,Glutathione PeroXidase
S000001510,YKL027W,TCD2,tRNA ThreonylCarbamoyladenosine Dehydratase
S000001511,YKL028W,TFA1,"Transcription Factor a, subunit 1"
S000001512,YKL029C,MAE1,MAlic Enzyme
S000001515,YKL032C,IXR1,Intrastrand cross (X)-link Recognition
S000001516,YKL033W,TTI1,Two Tel2-Interacting protein
S000001517,YKL034W,TUL1,Transmembrane Ubiquitin Ligase
S000001518,YKL035W,UGP1,UDP-glucose pyrophosphorylase
S000001520,YKL037W,AIM26,Altered Inheritance rate of Mitochondria
S000001521,YKL038W,RGT1,Restores Glucose Transport
S000001522,YKL039W,PTM1,
S000001523,YKL040C,NFU1,NifU-like protein
S000001524,YKL041W,VPS24,Vacuolar Protein Sorting
S000001525,YKL042W,SPC42,Spindle Pole Component
S000001526,YKL043W,PHD1,PseudoHyphal Determinant
S000001527,YKL044W,MMO1,Mini Mitochondria ORF
S000001528,YKL045W,PRI2,DNA PRImase
S000001529,YKL046C,DCW1,Defective Cell Wall
S000001530,YKL047W,ANR2,Avl Nine Related family 2
S000001531,YKL048C,ELM1,ELongated Morphology
S000001532,YKL049C,CSE4,Chromosome SEgregation
S000001533,YKL050C,,
S000001534,YKL051W,SFK1,Suppressor of Four Kinase
S000001535,YKL052C,ASK1,Associated with Spindles and Kinetochores
S000001537,YKL054C,DEF1,RNAPII DEgradation Factor
S000001538,YKL055C,OAR1,3-Oxoacyl-[Acyl-carrier-protein] Reductase
S000001539,YKL056C,TMA19,Translation Machinery Associated
S000001540,YKL057C,NUP120,NUclear Pore
S000001541,YKL058W,TOA2,
S000001542,YKL059C,MPE1,Mutant PCF11 Extragenic suppressor
S000001543,YKL060C,FBA1,"Fructose-1,6-Bisphosphate Aldolase"
S000001544,YKL061W,BLI1,BLoc-1 Interactor
S000001545,YKL062W,MSN4,Multicopy suppressor of SNF1 mutation
S000001546,YKL063C,,
S000001547,YKL064W,MNR2,MaNganese Resistance
S000001548,YKL065C,YET1,Yeast Endoplasmic reticulum Transmembrane protein
S000001550,YKL067W,YNK1,Yeast Nucleoside diphosphate Kinase
S000001551,YKL068W,NUP100,NUclear Pore
S000001552,YKL069W,,
S000001553,YKL070W,,
S000001554,YKL071W,,
S000001555,YKL072W,STB6,Sin Three Binding protein
S000001556,YKL073W,LHS1,Lumenal Hsp Seventy
S000001557,YKL074C,MUD2,Mutant U1 Die
S000001558,YKL075C,,
S000001560,YKL077W,PSG1,Pma1 Stabilization in the Golgi
S000001561,YKL078W,DHR2,DEAH-box RNA helicase
S000001562,YKL079W,SMY1,Suppressor of MYo2-66
S000001563,YKL080W,VMA5,Vacuolar Membrane Atpase
S000001564,YKL081W,TEF4,Translation Elongation Factor
S000001565,YKL082C,RRP14,Ribosomal RNA Processing
S000001567,YKL084W,HOT13,Helper Of Tim
S000001568,YKL085W,MDH1,Malate DeHydrogenase
S000001569,YKL086W,SRX1,SulfiRedoXin
S000001570,YKL087C,CYT2,CYTochrome-c1-heme-lyase
S000001571,YKL088W,CAB3,Coenzyme A Biosynthesis
S000001572,YKL089W,MIF2,MItotic Fidelity of chromosome transmission
S000001573,YKL090W,CUE2,Coupling of Ubiquitin conjugation to ER degradation
S000001574,YKL091C,,
S000001575,YKL092C,BUD2,BUD site selection
S000001576,YKL093W,MBR1,Mitochondrial Biogenesis Regulation
S000001577,YKL094W,YJU3,
S000001578,YKL095W,YJU2,
S000001579,YKL096W,CWP1,Cell Wall Protein
S000001581,YKL098W,MTC2,Maintenance of Telomere Capping
S000001582,YKL099C,UTP11,U Three Protein
S000001583,YKL100C,YPF1,Yeast Presenilin-like Family 1
S000001584,YKL101W,HSL1,Histone Synthetic Lethal
S000001586,YKL103C,APE1,AminoPeptidase
S000001587,YKL104C,GFA1,Glutamine:Fructose-6-phosphate Amidotransferase
S000001588,YKL105C,SEG2,Stability of Eisosomes Guaranteed
S000001589,YKL106W,AAT1,Aspartate AminoTransferase
S000001590,YKL107W,,
S000001591,YKL108W,SLD2,Synthetically Lethal with Dpb11-1
S000001592,YKL109W,HAP4,Heme Activator Protein
S000001593,YKL110C,KTI12,Kluveromyces lactis Toxin Insensitive
S000001595,YKL112W,ABF1,ARS-Binding Factor 1
S000001596,YKL113C,RAD27,RADiation sensitive
S000001597,YKL114C,APN1,APurinic/apyrimidinic eNdonuclease
S000001599,YKL116C,PRR1,Pheromone Response Regulator
S000001600,YKL117W,SBA1,increased Sensitivity to Benzoquinone Ansamycins
S000001602,YKL119C,VPH2,Vacuolar pH
S000001603,YKL120W,OAC1,OxaloAcetate Carrier
S000001604,YKL121W,DGR2,2-Deoxy-Glucose Resistant 2
S000001605,YKL122C,SRP21,Signal Recognition Particle
S000001607,YKL124W,SSH4,Suppressor of SHr3 deletion
S000001608,YKL125W,RRN3,Regulation of RNA polymerase I
S000001609,YKL126W,YPK1,Yeast Protein Kinase
S000001610,YKL127W,PGM1,PhosphoGlucoMutase
S000001611,YKL128C,PMU1,PhosphoMUtase
S000001612,YKL129C,MYO3,MYOsin
S000001613,YKL130C,SHE2,Swi5p-dependent HO Expression
S000001615,YKL132C,RMA1,Reduced Mating A
S000001616,YKL133C,RCI50,Respiratory Chain Interacting protein of ~50 kDa
S000001617,YKL134C,OCT1,OCTapeptidyl aminopeptidase
S000001618,YKL135C,APL2,clathrin Adaptor Protein complex Large chain
S000001620,YKL137W,CMC1,Cx9C Mitochondrial protein necessary for full assembly of Cytochrome c oxidase
S000001621,YKL138C,MRPL31,"Mitochondrial Ribosomal Protein, Large subunit"
S000001622,YKL139W,CTK1,Carboxy-Terminal domain Kinase
S000001623,YKL140W,TGL1,TriGlyceride Lipase
S000001624,YKL141W,SDH3,Succinate DeHydrogenase
S000001625,YKL142W,MRP8,Mitochondrial Ribosomal Protein
S000001626,YKL143W,LTV1,Low Temperature Viability
S000001627,YKL144C,RPC25,RNA Polymerase C
S000001628,YKL145W,RPT1,"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
S000001629,YKL146W,AVT3,Amino acid Vacuolar Transport
S000001631,YKL148C,SDH1,Succinate DeHydrogenase
S000001632,YKL149C,DBR1,DeBRanching
S000001633,YKL150W,MCR1,Mitochondrial NADH-Cytochrome b5 Reductase
S000001634,YKL151C,NNR2,Nicotinamide Nucleotide Repair
S000001635,YKL152C,GPM1,Glycerate PhosphoMutase
S000001637,YKL154W,SRP102,Signal Recognition Particle
S000001638,YKL155C,RSM22,Ribosomal Small subunit of Mitochondria
S000001639,YKL156W,RPS27A,Ribosomal Protein of the Small subunit
S000001640,YKL157W,APE2,AminoPEptidase
S000001642,YKL159C,RCN1,Regulator of CalciNeurin
S000001643,YKL160W,ELF1,ELongation Factor
S000001644,YKL161C,KDX1,Kinase Dead X-talker
S000001645,YKL162C,,
S000001646,YKL163W,PIR3,Protein containing Internal Repeats
S000001647,YKL164C,PIR1,Protein containing Internal Repeats
S000001648,YKL165C,MCD4,Morphogenesis Checkpoint Dependent
S000001649,YKL166C,TPK3,Takashi's Protein Kinase
S000001650,YKL167C,MRP49,Mitochondrial Ribosomal Protein
S000001651,YKL168C,KKQ8,
S000001653,YKL170W,MRPL38,"Mitochondrial Ribosomal Protein, Large subunit"
S000001654,YKL171W,NNK1,Nitrogen Network Kinase
S000001655,YKL172W,EBP2,EBNA1-binding protein (homolog)
S000001656,YKL173W,SNU114,Small NUclear ribonucleoprotein associated
S000001657,YKL174C,TPO5,Transporter of POlyamines
S000001658,YKL175W,ZRT3,Zinc-Regulated Transporter
S000001659,YKL176C,LST4,Lethal with Sec Thirteen
S000001661,YKL178C,STE3,STErile
S000001662,YKL179C,COY1,CASP Of Yeast
S000001663,YKL180W,RPL17A,Ribosomal Protein of the Large subunit
S000001664,YKL181W,PRS1,PhosphoRibosylpyrophosphate Synthetase
S000001665,YKL182W,FAS1,Fatty Acid Synthetase
S000001666,YKL183W,LOT5,LOw Temperature-responsive
S000001667,YKL184W,SPE1,SPErmidine auxotroph
S000001668,YKL185W,ASH1,Asymmetric Synthesis of HO
S000001669,YKL186C,MTR2,Mrna TRansport
S000001670,YKL187C,FAT3,FATty acid transporter 3
S000001671,YKL188C,PXA2,PeroXisomal ABC-transporter
S000001672,YKL189W,HYM1,
S000001673,YKL190W,CNB1,CalciNeurin subunit B
S000001674,YKL191W,DPH2,DiPHthamide
S000001675,YKL192C,ACP1,Acyl Carrier Protein
S000001676,YKL193C,SDS22,homolog of S. pombe SDS22
S000001677,YKL194C,MST1,"Mitochondrial aminoacyl-tRNA Synthetase, Threonine"
S000001678,YKL195W,MIA40,Mitochondrial intermembrane space Import and Assembly
S000001679,YKL196C,YKT6,
S000001680,YKL197C,PEX1,PEroXin
S000001681,YKL198C,PTK1,Putative serine/Threonine protein Kinase
S000001684,YKL201C,MNN4,MaNNosyltransferase
S000001686,YKL203C,TOR2,Target Of Rapamycin
S000001687,YKL204W,EAP1,EIF4E-Associated Protein
S000001688,YKL205W,LOS1,Loss Of Suppression
S000001689,YKL206C,ADD66,Alpha1-proteinase inhibitor-Degradation Deficient
S000001690,YKL207W,EMC3,ER Membrane protein Complex
S000001691,YKL208W,CBT1,Cytochrome B Termination
S000001692,YKL209C,STE6,STErile
S000001693,YKL210W,UBA1,UBiquitin Activating
S000001694,YKL211C,TRP3,TRyPtophan
S000001695,YKL212W,SAC1,Suppressor of ACtin
S000001696,YKL213C,DOA1,Degradation Of Alpha
S000001697,YKL214C,YRA2,Yeast RNA Annealing protein
S000001698,YKL215C,OXP1,OXoProlinase
S000001699,YKL216W,URA1,URAcil requiring
S000001700,YKL217W,JEN1,
S000001701,YKL218C,SRY1,Serine Racemase of Yeast
S000001702,YKL219W,COS9,COnserved Sequence
S000001703,YKL220C,FRE2,Ferric REductase
S000001704,YKL221W,MCH2,MonoCarboxylate transporter Homolog
S000001705,YKL222C,,
S000001709,YKR001C,VPS1,Vacuolar Protein Sorting
S000001710,YKR002W,PAP1,Poly(A) Polymerase
S000001711,YKR003W,OSH6,OxySterol binding protein Homolog
S000001712,YKR004C,ECM9,ExtraCellular Mutant
S000001713,YKR005C,,
S000001714,YKR006C,MRPL13,"Mitochondrial Ribosomal Protein, Large subunit"
S000001715,YKR007W,MEH1,Multicopy suppressor of Ers1 Hygromycin B sensitivity
S000001716,YKR008W,RSC4,Remodel the Structure of Chromatin
S000001717,YKR009C,FOX2,Fatty acid OXidation
S000001718,YKR010C,TOF2,TOpoisomerase I-interacting Factor
S000001719,YKR011C,,
S000001721,YKR013W,PRY2,Pathogen Related in Yeast
S000001722,YKR014C,YPT52,Yeast Protein Two
S000001723,YKR015C,,
S000001724,YKR016W,MIC60,MItochondrial contact site and Cristae organizing system
S000001725,YKR017C,HEL1,Histone E3 Ligase
S000001726,YKR018C,,
S000001727,YKR019C,IRS4,Increased rDNA Silencing
S000001728,YKR020W,VPS51,Vacuolar Protein Sorting
S000001729,YKR021W,ALY1,Arrestin-Like Yeast protein
S000001730,YKR022C,NTR2,NineTeen complex Related protein
S000001731,YKR023W,RQT4,Ribosome-Quality control Trigger factor
S000001732,YKR024C,DBP7,Dead Box Protein
S000001733,YKR025W,RPC37,RNA Polymerase C
S000001734,YKR026C,GCN3,General Control Nonderepressible
S000001735,YKR027W,BCH2,Bud7 and Chs6 Homolog
S000001736,YKR028W,SAP190,Sit4 Associated Protein
S000001737,YKR029C,SET3,SET domain-containing
S000001738,YKR030W,GMH1,Gea1-6 Membrane-associated High-copy suppressor
S000001739,YKR031C,SPO14,SPOrulation
S000001742,YKR034W,DAL80,Degradation of Allantoin
S000001744,YKR036C,CAF4,CCR4 Associated Factor
S000001745,YKR037C,SPC34,Spindle Pole Component
S000001746,YKR038C,KAE1,Kinase-Associated Endopeptidase
S000001747,YKR039W,GAP1,General Amino acid Permease
S000001749,YKR041W,,
S000001750,YKR042W,UTH1,yoUTH
S000001751,YKR043C,SHB17,"SedoHeptulose 1,7-Bisphosphatase"
S000001752,YKR044W,UIP5,Ulp1 Interacting Protein
S000001753,YKR045C,,
S000001754,YKR046C,PLN1,PeriLipiN
S000001756,YKR048C,NAP1,Nucleosome Assembly Protein
S000001757,YKR049C,FMP46,Found in Mitochondrial Proteome
S000001758,YKR050W,TRK2,TRansport of potassium (K)
S000001759,YKR051W,,
S000001760,YKR052C,MRS4,Mitochondrial RNA Splicing
S000001761,YKR053C,YSR3,Yeast Sphingolipid Resistance
S000001762,YKR054C,DYN1,DYNein
S000001763,YKR055W,RHO4,Ras HOmolog
S000001764,YKR056W,TRM2,tRNA Methyltransferase
S000001765,YKR057W,RPS21A,Ribosomal Protein of the Small subunit
S000001766,YKR058W,GLG1,Glycogenin-Like Gene
S000001768,YKR060W,UTP30,U Three Protein
S000001769,YKR061W,KTR2,Kre Two Related
S000001770,YKR062W,TFA2,"Transcription Factor a, subunit 2"
S000001771,YKR063C,LAS1,Lethal in the Absence of SSD1-v
S000001772,YKR064W,OAF3,Oleate Activated transcription Factor
S000001773,YKR065C,PAM17,Presequence translocase-Associated Motor
S000001774,YKR066C,CCP1,Cytochrome c Peroxidase
S000001775,YKR067W,GPT2,Glycerol-3-Phosphate acylTransferase
S000001776,YKR068C,BET3,Blocked Early in Transport
S000001777,YKR069W,MET1,METhionine requiring
S000001778,YKR070W,,
S000001779,YKR071C,DRE2,Derepressed for Ribosomal protein S14 Expression
S000001780,YKR072C,SIS2,SIt4 Suppressor
S000001782,YKR074W,AIM29,Altered Inheritance rate of Mitochondria
S000001783,YKR075C,,
S000001784,YKR076W,ECM4,ExtraCellular Mutant
S000001785,YKR077W,MSA2,Mbf and Sbf Associated
S000001786,YKR078W,,
S000001787,YKR079C,TRZ1,tRNase Z
S000001788,YKR080W,MTD1,Methylene Tetrahydrafolate Dehydrogenase
S000001789,YKR081C,RPF2,Ribosome Production Factor
S000001790,YKR082W,NUP133,NUclear Pore
S000001791,YKR083C,DAD2,Duo1 And Dam1 interacting
S000001792,YKR084C,HBS1,Hsp70 subfamily B Suppressor
S000001793,YKR085C,MRPL20,"Mitochondrial Ribosomal Protein, Large subunit"
S000001794,YKR086W,PRP16,Pre-mRNA Processing
S000001795,YKR087C,OMA1,Overlapping activity with M-AAA protease
S000001796,YKR088C,TVP38,Tlg2-Vesicle Protein
S000001797,YKR089C,TGL4,TriacylGlycerol Lipase
S000001798,YKR090W,PXL1,PaXillin-Like protein
S000001799,YKR091W,SRL3,Suppressor of rad53 Lethality
S000001800,YKR092C,SRP40,Serine Rich Protein
S000001801,YKR093W,PTR2,Peptide TRansport
S000001802,YKR094C,RPL40B,Ribosomal Protein of the Large subunit
S000001803,YKR095W,MLP1,Myosin-Like Protein
S000001804,YKR096W,ESL2,EST/SMG-like
S000001805,YKR097W,PCK1,Phosphoenolpyruvate CarboxyKinase
S000001806,YKR098C,UBP11,UBiquitin-specific Protease
S000001807,YKR099W,BAS1,BASal
S000001808,YKR100C,SKG1,Suppressor of lethality of Kex2 Gas1 double null mutant
S000001809,YKR101W,SIR1,Silent Information Regulator
S000001810,YKR102W,FLO10,FLOcculation
S000001811,YKR103W,NFT1,New Full-length MRP-type Transporter
S000001812,YKR104W,,
S000001827,YFL067W,,
S000001839,YFL055W,AGP3,high-Affinity Glutamine Permease
S000001840,YFL054C,AQY3,AQuaporin from Yeast
S000001841,YFL053W,DAK2,DihydroxyAcetone Kinase
S000001842,YFL052W,ZNF1,ZiNc Finger protein
S000001843,YFL051C,,
S000001844,YFL050C,ALR2,ALuminum Resistance
S000001845,YFL049W,SWP82,SWi/snf-associated Protein
S000001846,YFL048C,EMP47,
S000001847,YFL047W,RGD2,RhoGAP domain
S000001848,YFL046W,FMP32,Found in Mitochondrial Proteome
S000001849,YFL045C,SEC53,SECretory
S000001850,YFL044C,OTU1,Ovarian TUmor
S000001852,YFL042C,LAM5,Lipid transfer protein Anchored at Membrane contact site
S000001853,YFL041W,FET5,FErrous Transport
S000001854,YFL040W,,
S000001855,YFL039C,ACT1,ACTin
S000001856,YFL038C,YPT1,Yeast Protein Two
S000001857,YFL037W,TUB2,TUBulin
S000001858,YFL036W,RPO41,RNA POlymerase
S000001859,YFL034C-B,MOB2,Mps One Binder
S000001860,YFL034W,MIL1,Medium adaptin-Interacting Ligand
S000001861,YFL033C,RIM15,Regulator of IME2
S000001863,YFL031W,HAC1,Homologous to Atf/Creb1
S000001864,YFL030W,AGX1,Alanine:Glyoxylate aminotrans(X)ferase
S000001865,YFL029C,CAK1,Cdk-Activating Kinase
S000001866,YFL028C,CAF16,CCR4 Associated Factor
S000001867,YFL027C,GYP8,Gtpase-activating protein for Ypt Proteins
S000001868,YFL026W,STE2,STErile
S000001869,YFL025C,BST1,Bypass of Sec Thirteen
S000001870,YFL024C,EPL1,Enhancer of Polycomb Like
S000001871,YFL023W,BUD27,BUD site selection
S000001872,YFL022C,FRS2,phenylalanyl (F)-tRNA Synthetase
S000001873,YFL021W,GAT1,
S000001874,YFL020C,PAU5,seriPAUperin family
S000001876,YFL018C,LPD1,LiPoamide Dehydrogenase
S000001877,YFL017C,GNA1,GlucosamiNe-6-phosphate Acetyltransferase
S000001878,YFL016C,MDJ1,Mitochondrial DnaJ
S000001880,YFL014W,HSP12,Heat Shock Protein
S000001881,YFL013C,IES1,Ino Eighty Subunit
S000001882,YFL012W,,
S000001883,YFL011W,HXT10,HeXose Transporter
S000001884,YFL010C,WWM1,WW domain containing protein interacting with Metacaspase
S000001885,YFL009W,CDC4,Cell Division Cycle
S000001886,YFL008W,SMC1,Stability of MiniChromosomes
S000001887,YFL007W,BLM10,BLeoMycin resistance
S000001889,YFL005W,SEC4,SECretory
S000001890,YFL004W,VTC2,Vacuolar Transporter Chaperone
S000001891,YFL003C,MSH4,MutS Homolog
S000001894,YFL002C,SPB4,Suppressor of PAB1
S000001895,YFL001W,DEG1,DEpressed Growth rate
S000001897,YFR001W,LOC1,LOCalization of mRNA
S000001898,YFR002W,NIC96,Nucleoporin-Interacting Component of 96 kDa
S000001899,YFR003C,YPI1,Yeast Phosphatase Inhibitor
S000001900,YFR004W,RPN11,Regulatory Particle Non-ATPase
S000001901,YFR005C,SAD1,SnRNP Assembly Defective
S000001902,YFR006W,,
S000001903,YFR007W,YFH7,
S000001904,YFR008W,FAR7,Factor ARrest
S000001905,YFR009W,GCN20,General Control Nonderepressible
S000001906,YFR010W,UBP6,UBiquitin-specific Protease
S000001907,YFR011C,MIC19,MItochondrial contact site and Cristae organizing system
S000001908,YFR012W,DCV1,Demands Cdc28 kinase activity for Viability
S000001909,YFR013W,IOC3,Iswi One Complex
S000001910,YFR014C,CMK1,CalModulin dependent protein Kinase
S000001911,YFR015C,GSY1,Glycogen SYnthase
S000001912,YFR016C,,
S000001913,YFR017C,IGD1,Inhibitor of Glycogen Debranching
S000001914,YFR018C,,
S000001915,YFR019W,FAB1,Forms Aploid and Binucleate cells
S000001916,YFR020W,CSS2,Condition Specific Secretion
S000001917,YFR021W,ATG18,AuTophaGy related
S000001918,YFR022W,ROG3,Revertant Of Glycogen synthase kinase mutation
S000001919,YFR023W,PES4,Polymerase Epsilon Suppressor
S000001921,YFR025C,HIS2,HIStidine requiring
S000001922,YFR026C,ULI1,Upr-L-Inducible gene
S000001923,YFR027W,ECO1,Establishment of COhesion
S000001924,YFR028C,CDC14,Cell Division Cycle
S000001925,YFR029W,PTR3,Peptide TRansport
S000001926,YFR030W,MET10,METhionine requiring
S000001927,YFR031C,SMC2,Structural Maintenance of Chromosomes
S000001928,YFR032C,RRT5,Regulator of rDNA Transcription
S000001929,YFR033C,QCR6,ubiQuinol-cytochrome C oxidoReductase
S000001930,YFR034C,PHO4,PHOsphate metabolism
S000001931,YFR035C,,
S000001932,YFR036W,CDC26,Cell Division Cycle
S000001933,YFR037C,RSC8,Remodel the Structure of Chromatin
S000001934,YFR038W,IRC5,Increased Recombination Centers
S000001935,YFR039C,OSW7,Outer Spore Wall
S000001936,YFR040W,SAP155,Sit4 Associated Protein
S000001937,YFR041C,ERJ5,Endoplasmic Reticulum located J-protein
S000001938,YFR042W,KEG1,Kre6-binding ER protein responsible for Glucan synthesis
S000001939,YFR043C,IRC6,Increased Recombination Centers
S000001940,YFR044C,DUG1,Deficient in Utilization of Glutathione
S000001941,YFR045W,,
S000001942,YFR046C,CNN1,Co-purified with NNf1p
